Sno,id,delay,jitter,bandwidth
1,0,9248.7,82.9,1066104.5
17,0,37960.5,4747.8,190.0
19,0,19361.4,4060.8,190.0
20,0,28923.3,110.5,974562.0
4,0,12998.7,5872.64,974562.0
5,0,21233.8,4814.0,1066104.5
23,0,4000.5,1285.9,190.0
7,0,27275.3,5873.3,156.0
11,0,10571.1,1041.44,156.0
13,0,2280.8,1477.2,190.0
1,1,789.7,45.96,4603325.5
17,1,841.4,47.72,285.0
19,1,31.6,8.36,285.0
20,1,136.5,48.9,4625950.0
4,1,150.7,30.24,4625950.0
5,1,100000.0,10000.0,4603325.5
23,1,207.7,44.5,285.0
7,1,233.2,34.0,285.0
11,1,189.6,46.2,285.0
13,1,98.2,9.88,285.0
1,2,179.8,36.0,5759035.0
17,2,166.0,44.2,62.0
19,2,31.2,10.92,106.0
20,2,39.7,9.98,5208335.0
4,2,204.6,22.2,5208335.0
5,2,101224.0,404896.0,5759035.0
23,2,36.7,11.92,106.0
7,2,146.4,22.48,62.0
11,2,285.5,87.1,62.0
13,2,148.6,41.48,62.0
1,3,331.9,26.92,4606797.5
17,3,91.2,7.88,343.0
19,3,353.3,36.76,386.0
20,3,222.1,41.3,5205953.0
4,3,324.6,220.88,5205953.0
5,3,201779.0,1816011.0,4606797.5
23,3,45.0,15.8,386.0
7,3,163.9,49.66,343.0
11,3,152.2,30.28,343.0
13,3,175.4,121.04,343.0
1,4,164.8,35.0,5185093.5
17,4,296.8,318.68,257.5
19,4,180.6,60.48,287.0
20,4,129.7,43.5,5790052.5
4,4,44.3,15.08,5790052.5
5,4,63819.0,148911.0,5185093.5
23,4,250.5,59.1,287.0
7,4,298.6,130.92,237.0
11,4,142.0,13.8,237.0
13,4,102.2,14.24,257.5
1,5,163.8,34.8,4606374.5
17,5,139.4,59.36,125.0
19,5,33.1,8.16,111.0
20,5,42.0,15.2,4624961.0
4,5,37.6,8.56,4624961.0
5,5,94912.0,379648.0,4606374.5
23,5,68.8,31.4,111.0
7,5,174.4,20.6,125.0
11,5,132.7,10.18,125.0
13,5,173.9,60.9,125.0
1,6,445.4,35.32,4604174.5
17,6,224.7,51.1,246.0
19,6,35.3,10.22,277.0
20,6,197.2,117.36,5204472.0
4,6,139.7,43.5,5204472.0
5,6,94908.0,379632.0,4604174.5
23,6,201.5,51.3,277.0
7,6,962.9,33.7,238.0
11,6,136.7,12.98,238.0
13,6,171.1,40.1,246.0
1,7,132.4,16.2,4608635.5
17,7,158.9,45.32,194.0
19,7,208.6,124.08,174.5
20,7,357.8,72.96,4631442.0
4,7,137.5,46.1,4631442.0
5,7,100000.0,10000.0,4608635.5
23,7,35.5,12.6,174.5
7,7,431.6,52.0,190.0
11,7,137.6,14.64,190.0
13,7,292.0,74.8,194.0
1,8,273.9,71.12,4602066.0
17,8,99.3,14.42,243.0
19,8,62.6,22.0,243.0
20,8,98.9,46.1,4624683.5
4,8,53.9,25.86,4624683.5
5,8,95688.5,382754.0,4602066.0
23,8,34.8,14.68,243.0
7,8,204.4,59.48,243.0
11,8,131.0,12.2,243.0
13,8,623.7,52.9,243.0
1,9,124.9,14.26,5184001.0
17,9,513.2,179.96,320.5
19,9,30.5,8.9,320.5
20,9,77.1,37.32,5210284.5
4,9,138.6,49.32,5210284.5
5,9,95062.5,380250.0,5184001.0
23,9,85.8,31.4,320.5
7,9,149.4,27.56,285.0
11,9,217.2,40.8,285.0
13,9,110.4,17.36,320.5
1,10,122.1,13.94,4608771.0
17,10,169.8,49.6,55.0
19,10,121.9,42.3,55.0
20,10,40.9,10.86,4630117.5
4,10,42.2,11.68,4630117.5
5,10,44297.5,66446.25,4608771.0
23,10,219.6,51.2,55.0
7,10,173.3,31.5,55.0
11,10,211.8,46.4,55.0
13,10,108.3,17.56,55.0
1,11,318.4,73.52,5184603.5
17,11,156.4,38.72,229.0
19,11,102.3,49.5,229.0
20,11,339.8,66.2,5212942.5
4,11,100000.0,10000.0,5212942.5
5,11,29996.4,29996.4,5184603.5
23,11,73.8,40.8,229.0
7,11,263.9,29.1,238.0
11,11,212.6,64.28,238.0
13,11,463.7,419.44,229.0
1,12,128.4,15.96,5184818.5
17,12,293.9,145.72,111.0
19,12,81.1,37.52,111.0
20,12,45.1,13.96,4631886.0
4,12,40.8,8.16,4631886.0
5,12,100000.0,10000.0,5184818.5
23,12,133.0,55.6,111.0
7,12,159.3,34.16,125.0
11,12,255.4,45.6,125.0
13,12,155.5,45.2,111.0
1,13,125.3,12.88,5183589.5
17,13,172.0,53.8,320.5
19,13,64.5,29.7,356.0
20,13,49.7,15.84,5788382.0
4,13,39.3,10.28,5788382.0
5,13,78669.0,314676.0,5183589.5
23,13,175.8,69.24,356.0
7,13,308.1,63.5,285.0
11,13,274.4,78.4,285.0
13,13,102.3,14.28,320.5
1,14,172.9,52.3,5760023.0
17,14,285.7,39.36,356.0
19,14,30.3,8.54,335.5
20,14,299.3,104.44,5215019.5
4,14,124.4,46.08,5215019.5
5,14,100000.0,10000.0,5760023.0
23,14,202.5,80.1,335.5
7,14,169.4,37.28,356.0
11,14,170.0,29.6,356.0
13,14,138.2,28.76,356.0
1,15,126.4,14.88,4607005.5
17,15,103.4,15.6,125.0
19,15,780.8,439.88,139.0
20,15,306.3,68.1,5213906.0
4,15,228.1,57.9,5213906.0
5,15,100000.0,10000.0,4607005.5
23,15,28.9,6.68,139.0
7,15,174.0,36.0,111.0
11,15,183.1,38.5,111.0
13,15,359.5,295.2,125.0
1,16,272.8,66.04,5184140.5
17,16,102.8,11.72,370.0
19,16,32.8,9.52,62781.0
20,16,147.0,46.2,5791889.0
4,16,294.7,50.7,5791889.0
5,16,14839.143,17110.94,5184140.5
23,16,36.8,11.88,62781.0
7,16,357.4,45.72,329.0
11,16,312.5,95.1,329.0
13,16,165.5,51.0,370.0
1,17,129.1,16.34,4608414.0
17,17,111.7,15.9,69.0
19,17,32.9,7.08,263446.0
20,17,43.9,15.84,4634844.0
4,17,42.6,12.24,4634844.0
5,17,100000.0,10000.0,4608414.0
23,17,40.0,16.4,263446.0
7,17,181.4,30.4,69.0
11,17,202.5,48.8,69.0
13,17,170.4,46.52,69.0
1,18,130.4,18.88,5185121.5
17,18,139.0,47.0,320.5
19,18,31.7,8.52,296445.5
20,18,41.9,9.26,5210330.0
4,18,139.4,179.52,5210330.0
5,18,108334.0,975006.0,5185121.5
23,18,278.1,58.1,296445.5
7,18,179.1,28.52,285.0
11,18,169.8,28.6,285.0
13,18,100.6,12.84,320.5
1,19,313.8,101.16,5183594.5
17,19,105.1,15.72,287.0
19,19,171.4,159.28,296571.5
20,19,231.6,73.48,4630739.0
4,19,187.5,65.7,4630739.0
5,19,56326.0,225304.0,5183594.5
23,19,210.6,52.2,296571.5
7,19,149.6,19.6,286.0
11,19,256.6,42.6,286.0
13,19,105.1,15.14,287.0
1,20,232.8,65.16,5184210.5
17,20,99.1,14.52,128.0
19,20,63.6,36.6,263518.0
20,20,90.0,46.0,5206978.0
4,20,113.2,37.44,5206978.0
5,20,39136.332,91318.11,5184210.5
23,20,293.8,107.8,263518.0
7,20,259.9,82.88,119.0
11,20,135.4,11.88,119.0
13,20,652.0,48.2,128.0
1,21,248.6,79.08,5758814.0
