------------------------------------------------------------
Server listening on UDP port 65525
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.1 port 65525 connected with 10.0.0.10 port 47609
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  1] 0.0000-1.0000 sec  1.18 MBytes  9.94 Mbits/sec   0.079 ms 489/1334 (37%)
[  1] 0.0000-1.0000 sec  8 datagrams received out-of-order
[  1] 1.0000-2.0000 sec   949 KBytes  7.77 Mbits/sec   0.110 ms 675/1336 (51%)
[  1] 2.0000-3.0000 sec   950 KBytes  7.79 Mbits/sec   0.029 ms 677/1339 (51%)
[  1] 3.0000-4.0000 sec   949 KBytes  7.77 Mbits/sec   0.034 ms 676/1337 (51%)
[  1] 4.0000-5.0000 sec   949 KBytes  7.77 Mbits/sec   0.050 ms 676/1337 (51%)
[  1] 5.0000-6.0000 sec   950 KBytes  7.79 Mbits/sec   0.191 ms 677/1339 (51%)
[  1] 6.0000-7.0000 sec   949 KBytes  7.77 Mbits/sec   0.034 ms 675/1336 (51%)
[  1] 7.0000-8.0000 sec   949 KBytes  7.77 Mbits/sec   0.066 ms 676/1337 (51%)
[  1] 8.0000-9.0000 sec   950 KBytes  7.79 Mbits/sec   0.051 ms 677/1339 (51%)
[  1] 9.0000-10.0000 sec   949 KBytes  7.77 Mbits/sec   0.031 ms 675/1336 (51%)
[  1] 10.0000-11.0000 sec   950 KBytes  7.79 Mbits/sec   0.025 ms 677/1339 (51%)
[  1] 11.0000-12.0000 sec   949 KBytes  7.77 Mbits/sec   0.072 ms 676/1337 (51%)
[  1] 12.0000-13.0000 sec   949 KBytes  7.77 Mbits/sec   0.162 ms 676/1337 (51%)
[  1] 13.0000-14.0000 sec   950 KBytes  7.79 Mbits/sec   0.028 ms 676/1338 (51%)
[  1] 14.0000-15.0000 sec   949 KBytes  7.77 Mbits/sec   0.041 ms 676/1337 (51%)
[  1] 15.0000-16.0000 sec   949 KBytes  7.77 Mbits/sec   0.038 ms 676/1337 (51%)
[  1] 16.0000-17.0000 sec   950 KBytes  7.79 Mbits/sec   0.064 ms 677/1339 (51%)
[  1] 17.0000-18.0000 sec   949 KBytes  7.77 Mbits/sec   0.031 ms 675/1336 (51%)
[  1] 18.0000-19.0000 sec   949 KBytes  7.77 Mbits/sec   0.064 ms 676/1337 (51%)
[  1] 19.0000-20.0000 sec   950 KBytes  7.79 Mbits/sec   0.095 ms 677/1339 (51%)
[  1] 20.0000-21.0000 sec   949 KBytes  7.77 Mbits/sec   0.052 ms 675/1336 (51%)
[  1] 21.0000-22.0000 sec   950 KBytes  7.79 Mbits/sec   0.030 ms 677/1339 (51%)
