------------------------------------------------------------
Server listening on UDP port 22760
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.1 port 22760 connected with 10.0.0.4 port 55799
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  1] 0.0000-1.0000 sec  2.49 MBytes  20.9 Mbits/sec   0.075 ms 16497/18275 (90%)
[  1] 0.0000-1.0000 sec  70 datagrams received out-of-order
[  1] 1.0000-2.0000 sec  2.43 MBytes  20.4 Mbits/sec   0.080 ms 16097/17833 (90%)
[  1] 2.0000-3.0000 sec  2.43 MBytes  20.4 Mbits/sec   0.082 ms 16096/17832 (90%)
[  1] 3.0000-4.0000 sec  2.43 MBytes  20.4 Mbits/sec   0.082 ms 16096/17832 (90%)
[  1] 4.0000-5.0000 sec  2.43 MBytes  20.4 Mbits/sec   0.065 ms 16096/17832 (90%)
[  1] 5.0000-6.0000 sec  2.43 MBytes  20.4 Mbits/sec   0.079 ms 16094/17830 (90%)
[  1] 6.0000-7.0000 sec  2.44 MBytes  20.4 Mbits/sec   0.076 ms 16105/17842 (90%)
[  1] 7.0000-8.0000 sec  2.43 MBytes  20.4 Mbits/sec   0.078 ms 16097/17833 (90%)
[  1] 8.0000-9.0000 sec  2.43 MBytes  20.4 Mbits/sec   0.081 ms 16097/17833 (90%)
[  1] 9.0000-10.0000 sec  2.43 MBytes  20.4 Mbits/sec   0.081 ms 16094/17830 (90%)
[  1] 10.0000-11.0000 sec  2.43 MBytes  20.4 Mbits/sec   0.080 ms 16098/17834 (90%)
[  1] 11.0000-12.0000 sec  2.43 MBytes  20.4 Mbits/sec   0.111 ms 16094/17830 (90%)
[  1] 12.0000-13.0000 sec  2.43 MBytes  20.4 Mbits/sec   0.080 ms 16096/17832 (90%)
[  1] 13.0000-14.0000 sec  2.43 MBytes  20.4 Mbits/sec   0.081 ms 16098/17834 (90%)
[  1] 14.0000-15.0000 sec  2.43 MBytes  20.4 Mbits/sec   0.064 ms 16095/17831 (90%)
[  1] 15.0000-16.0000 sec  2.43 MBytes  20.4 Mbits/sec   0.072 ms 16098/17834 (90%)
[  1] 16.0000-17.0000 sec  2.43 MBytes  20.4 Mbits/sec   0.084 ms 16096/17832 (90%)
[  1] 17.0000-18.0000 sec  2.43 MBytes  20.4 Mbits/sec   0.081 ms 16095/17831 (90%)
[  1] 18.0000-19.0000 sec  2.43 MBytes  20.4 Mbits/sec   0.076 ms 16096/17832 (90%)
[  1] 19.0000-20.0000 sec  2.44 MBytes  20.4 Mbits/sec   0.061 ms 16106/17843 (90%)
[  1] 20.0000-21.0000 sec  2.43 MBytes  20.4 Mbits/sec   0.072 ms 16095/17831 (90%)
[  1] 21.0000-22.0000 sec  2.43 MBytes  20.4 Mbits/sec   0.073 ms 16098/17834 (90%)
[  1] 22.0000-23.0000 sec  2.43 MBytes  20.4 Mbits/sec   0.081 ms 16095/17831 (90%)
[  1] 23.0000-24.0000 sec  2.43 MBytes  20.4 Mbits/sec   0.081 ms 16095/17831 (90%)
[  1] 24.0000-25.0000 sec  2.43 MBytes  20.4 Mbits/sec   0.078 ms 16096/17832 (90%)
[  1] 25.0000-26.0000 sec  2.43 MBytes  20.4 Mbits/sec   0.087 ms 16098/17834 (90%)
[  1] 26.0000-27.0000 sec  2.43 MBytes  20.4 Mbits/sec   0.075 ms 16098/17831 (90%)
[  1] 27.0000-28.0000 sec  2.43 MBytes  20.4 Mbits/sec   0.084 ms 16096/17832 (90%)
