------------------------------------------------------------
Server listening on TCP port 36114
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.10 port 36114 connected with 10.0.0.1 port 39656
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-1.0000 sec  60.0 Bytes   480 bits/sec
[  1] 1.0000-2.0000 sec  2.83 KBytes  23.2 Kbits/sec
[  1] 2.0000-3.0000 sec   191 KBytes  1.56 Mbits/sec
[  1] 3.0000-4.0000 sec   607 KBytes  4.97 Mbits/sec
[  1] 4.0000-5.0000 sec   737 KBytes  6.04 Mbits/sec
[  1] 5.0000-6.0000 sec   126 KBytes  1.03 Mbits/sec
[  1] 6.0000-7.0000 sec   354 KBytes  2.90 Mbits/sec
[  1] 7.0000-8.0000 sec   211 KBytes  1.73 Mbits/sec
[  1] 8.0000-9.0000 sec   817 KBytes  6.70 Mbits/sec
[  1] 9.0000-10.0000 sec   440 KBytes  3.60 Mbits/sec
[  1] 10.0000-11.0000 sec  7.07 KBytes  57.9 Kbits/sec
[  1] 11.0000-12.0000 sec   426 KBytes  3.49 Mbits/sec
[  1] 12.0000-13.0000 sec   202 KBytes  1.66 Mbits/sec
[  1] 13.0000-14.0000 sec   376 KBytes  3.08 Mbits/sec
[  1] 14.0000-15.0000 sec   905 KBytes  7.41 Mbits/sec
[  1] 15.0000-16.0000 sec   597 KBytes  4.89 Mbits/sec
[  1] 16.0000-17.0000 sec   549 KBytes  4.49 Mbits/sec
[  1] 17.0000-18.0000 sec  2.83 KBytes  23.2 Kbits/sec
[  1] 18.0000-19.0000 sec   510 KBytes  4.18 Mbits/sec
[  1] 19.0000-20.0000 sec   103 KBytes   846 Kbits/sec
[  1] 20.0000-21.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 21.0000-22.0000 sec   266 KBytes  2.18 Mbits/sec
[  1] 22.0000-23.0000 sec   742 KBytes  6.08 Mbits/sec
[  1] 23.0000-24.0000 sec   689 KBytes  5.64 Mbits/sec
[  1] 24.0000-25.0000 sec   362 KBytes  2.97 Mbits/sec
[  1] 25.0000-26.0000 sec   666 KBytes  5.46 Mbits/sec
[  1] 26.0000-27.0000 sec   139 KBytes  1.14 Mbits/sec
[  1] 27.0000-28.0000 sec   704 KBytes  5.77 Mbits/sec
[  1] 28.0000-29.0000 sec   587 KBytes  4.81 Mbits/sec
[  1] 29.0000-30.0000 sec   230 KBytes  1.89 Mbits/sec
[  1] 30.0000-31.0000 sec  14.1 KBytes   116 Kbits/sec
[  1] 31.0000-32.0000 sec   348 KBytes  2.85 Mbits/sec
[  1] 32.0000-33.0000 sec   230 KBytes  1.89 Mbits/sec
[  1] 33.0000-34.0000 sec  25.5 KBytes   209 Kbits/sec
[  1] 34.0000-35.0000 sec  14.1 KBytes   116 Kbits/sec
[  1] 35.0000-36.0000 sec   383 KBytes  3.14 Mbits/sec
[  1] 36.0000-37.0000 sec   875 KBytes  7.17 Mbits/sec
[  1] 37.0000-38.0000 sec   621 KBytes  5.09 Mbits/sec
[  1] 38.0000-39.0000 sec   260 KBytes  2.13 Mbits/sec
[  1] 39.0000-40.0000 sec   156 KBytes  1.27 Mbits/sec
[  1] 40.0000-41.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 41.0000-42.0000 sec   290 KBytes  2.37 Mbits/sec
[  1] 42.0000-43.0000 sec   830 KBytes  6.80 Mbits/sec
[  1] 43.0000-44.0000 sec   361 KBytes  2.95 Mbits/sec
[  1] 44.0000-45.0000 sec   492 KBytes  4.03 Mbits/sec
[  1] 45.0000-46.0000 sec   757 KBytes  6.20 Mbits/sec
[  1] 46.0000-47.0000 sec   263 KBytes  2.15 Mbits/sec
[  1] 47.0000-48.0000 sec   577 KBytes  4.73 Mbits/sec
[  1] 48.0000-49.0000 sec   361 KBytes  2.95 Mbits/sec
[  1] 49.0000-50.0000 sec   631 KBytes  5.17 Mbits/sec
[  1] 50.0000-51.0000 sec   666 KBytes  5.46 Mbits/sec
[  1] 51.0000-52.0000 sec  8.48 KBytes  69.5 Kbits/sec
[  1] 52.0000-53.0000 sec  38.2 KBytes   313 Kbits/sec
[  1] 53.0000-54.0000 sec   132 KBytes  1.08 Mbits/sec
[  1] 54.0000-55.0000 sec  17.0 KBytes   139 Kbits/sec
[  1] 55.0000-56.0000 sec   134 KBytes  1.10 Mbits/sec
[  1] 56.0000-57.0000 sec   469 KBytes  3.85 Mbits/sec
[  1] 57.0000-58.0000 sec   559 KBytes  4.58 Mbits/sec
[  1] 58.0000-59.0000 sec   735 KBytes  6.02 Mbits/sec
[  1] 59.0000-60.0000 sec   892 KBytes  7.31 Mbits/sec
[  1] 60.0000-61.0000 sec   609 KBytes  4.99 Mbits/sec
[  1] 61.0000-62.0000 sec   222 KBytes  1.82 Mbits/sec
[  1] 62.0000-63.0000 sec   781 KBytes  6.39 Mbits/sec
[  1] 63.0000-64.0000 sec   385 KBytes  3.15 Mbits/sec
[  1] 64.0000-65.0000 sec   246 KBytes  2.02 Mbits/sec
[  1] 65.0000-66.0000 sec  1008 KBytes  8.26 Mbits/sec
[  1] 66.0000-67.0000 sec   730 KBytes  5.98 Mbits/sec
[  1] 67.0000-68.0000 sec   826 KBytes  6.77 Mbits/sec
[  1] 68.0000-69.0000 sec   211 KBytes  1.73 Mbits/sec
[  1] 69.0000-70.0000 sec   553 KBytes  4.53 Mbits/sec
[  1] 70.0000-71.0000 sec   481 KBytes  3.94 Mbits/sec
[  1] 71.0000-72.0000 sec   506 KBytes  4.15 Mbits/sec
[  1] 72.0000-73.0000 sec   581 KBytes  4.76 Mbits/sec
[  1] 73.0000-74.0000 sec   788 KBytes  6.45 Mbits/sec
[  1] 74.0000-75.0000 sec   758 KBytes  6.21 Mbits/sec
[  1] 75.0000-76.0000 sec   369 KBytes  3.02 Mbits/sec
