------------------------------------------------------------
Server listening on TCP port 58364
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.7 port 58364 connected with 10.0.0.4 port 46948 (icwnd/mss/irtt=14/1448/15415)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-1.0000 sec  1.01 MBytes  8.48 Mbits/sec
[  1] 1.0000-2.0000 sec   878 KBytes  7.19 Mbits/sec
[  1] 2.0000-3.0000 sec  1.10 MBytes  9.20 Mbits/sec
[  1] 3.0000-4.0000 sec   939 KBytes  7.69 Mbits/sec
[  1] 4.0000-5.0000 sec  1.10 MBytes  9.26 Mbits/sec
[  1] 5.0000-6.0000 sec   922 KBytes  7.55 Mbits/sec
[  1] 6.0000-7.0000 sec  1.32 MBytes  11.1 Mbits/sec
[  1] 7.0000-8.0000 sec  1.02 MBytes  8.58 Mbits/sec
[  1] 8.0000-9.0000 sec  1.13 MBytes  9.50 Mbits/sec
[  1] 9.0000-10.0000 sec   665 KBytes  5.44 Mbits/sec
[  1] 10.0000-11.0000 sec   980 KBytes  8.03 Mbits/sec
[  1] 11.0000-12.0000 sec  1.26 MBytes  10.6 Mbits/sec
[  1] 12.0000-13.0000 sec  1.08 MBytes  9.06 Mbits/sec
[  1] 13.0000-14.0000 sec   755 KBytes  6.19 Mbits/sec
[  1] 14.0000-15.0000 sec  1.06 MBytes  8.91 Mbits/sec
[  1] 15.0000-16.0000 sec   908 KBytes  7.44 Mbits/sec
[  1] 16.0000-17.0000 sec  1.51 MBytes  12.7 Mbits/sec
[  1] 17.0000-18.0000 sec  1.27 MBytes  10.7 Mbits/sec
[  1] 18.0000-19.0000 sec  1.01 MBytes  8.46 Mbits/sec
[  1] 19.0000-20.0000 sec   790 KBytes  6.48 Mbits/sec
[  1] 20.0000-21.0000 sec  1.08 MBytes  9.09 Mbits/sec
[  1] 21.0000-22.0000 sec  2.09 MBytes  17.5 Mbits/sec
[  1] 22.0000-23.0000 sec  1.43 MBytes  12.0 Mbits/sec
