------------------------------------------------------------
Server listening on UDP port 46049
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.10 port 46049 connected with 10.0.0.6 port 34475
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  1] 0.0000-1.0000 sec  89.0 KBytes   729 Kbits/sec   0.010 ms 1/63 (1.6%)
[  1] 1.0000-2.0000 sec  87.6 KBytes   717 Kbits/sec   0.043 ms 0/61 (0%)
[  1] 2.0000-3.0000 sec  87.6 KBytes   717 Kbits/sec   0.064 ms 0/61 (0%)
[  1] 3.0000-4.0000 sec  87.6 KBytes   717 Kbits/sec   0.131 ms 0/61 (0%)
[  1] 4.0000-5.0000 sec  87.6 KBytes   717 Kbits/sec   0.039 ms 0/61 (0%)
[  1] 5.0000-6.0000 sec  87.6 KBytes   717 Kbits/sec   0.058 ms 0/61 (0%)
[  1] 6.0000-7.0000 sec  87.6 KBytes   717 Kbits/sec   0.071 ms 0/61 (0%)
[  1] 7.0000-8.0000 sec  87.6 KBytes   717 Kbits/sec   0.057 ms 0/61 (0%)
[  1] 8.0000-9.0000 sec  86.1 KBytes   706 Kbits/sec   1.311 ms 1/61 (1.6%)
[  1] 9.0000-10.0000 sec  84.7 KBytes   694 Kbits/sec   0.954 ms 2/61 (3.3%)
[  1] 10.0000-11.0000 sec  87.6 KBytes   717 Kbits/sec   1.341 ms 0/61 (0%)
[  1] 11.0000-12.0000 sec  84.7 KBytes   694 Kbits/sec   1.336 ms 2/61 (3.3%)
[  1] 12.0000-13.0000 sec  83.3 KBytes   682 Kbits/sec   0.955 ms 3/61 (4.9%)
[  1] 13.0000-14.0000 sec  87.6 KBytes   717 Kbits/sec   1.141 ms 0/61 (0%)
[  1] 14.0000-15.0000 sec  86.1 KBytes   706 Kbits/sec   1.266 ms 1/61 (1.6%)
[  1] 15.0000-16.0000 sec  86.1 KBytes   706 Kbits/sec   1.320 ms 1/61 (1.6%)
[  1] 16.0000-17.0000 sec  84.7 KBytes   694 Kbits/sec   1.276 ms 1/60 (1.7%)
[  1] 17.0000-18.0000 sec  87.6 KBytes   717 Kbits/sec   1.041 ms 0/61 (0%)
[  1] 18.0000-19.0000 sec  83.3 KBytes   682 Kbits/sec   1.276 ms 3/61 (4.9%)
[  1] 19.0000-20.0000 sec  86.1 KBytes   706 Kbits/sec   1.075 ms 1/61 (1.6%)
[  1] 20.0000-21.0000 sec  86.1 KBytes   706 Kbits/sec   1.174 ms 1/61 (1.6%)
[  1] 21.0000-22.0000 sec  84.7 KBytes   694 Kbits/sec   1.085 ms 2/61 (3.3%)
[  1] 22.0000-23.0000 sec  81.8 KBytes   670 Kbits/sec   0.967 ms 4/61 (6.6%)
[  1] 23.0000-24.0000 sec  86.1 KBytes   706 Kbits/sec   1.104 ms 1/61 (1.6%)
[  1] 24.0000-25.0000 sec  84.7 KBytes   694 Kbits/sec   1.138 ms 2/61 (3.3%)
[  1] 25.0000-26.0000 sec  83.3 KBytes   682 Kbits/sec   0.904 ms 3/61 (4.9%)
[  1] 26.0000-27.0000 sec  84.7 KBytes   694 Kbits/sec   0.982 ms 2/61 (3.3%)
[  1] 27.0000-28.0000 sec  87.6 KBytes   717 Kbits/sec   0.899 ms 0/61 (0%)
[  1] 28.0000-29.0000 sec  79.0 KBytes   647 Kbits/sec   0.511 ms 6/61 (9.8%)
[  1] 29.0000-30.0000 sec  84.7 KBytes   694 Kbits/sec   0.652 ms 2/61 (3.3%)
[  1] 30.0000-31.0000 sec  86.1 KBytes   706 Kbits/sec   1.034 ms 1/61 (1.6%)
[  1] 31.0000-32.0000 sec  87.6 KBytes   717 Kbits/sec   0.678 ms 0/61 (0%)
[  1] 32.0000-33.0000 sec  80.4 KBytes   659 Kbits/sec   1.213 ms 5/61 (8.2%)
[  1] 33.0000-34.0000 sec  80.4 KBytes   659 Kbits/sec   0.875 ms 4/60 (6.7%)
[  1] 34.0000-35.0000 sec  81.8 KBytes   670 Kbits/sec   0.899 ms 5/62 (8.1%)
[  1] 35.0000-36.0000 sec  86.1 KBytes   706 Kbits/sec   0.670 ms 1/61 (1.6%)
[  1] 36.0000-37.0000 sec  21.5 KBytes   176 Kbits/sec   0.302 ms 44/59 (75%)
[  1] 37.0000-38.0000 sec  30.1 KBytes   247 Kbits/sec   0.216 ms 41/62 (66%)
[  1] 38.0000-39.0000 sec  27.3 KBytes   223 Kbits/sec   0.111 ms 34/53 (64%)
[  1] 39.0000-40.0000 sec  80.4 KBytes   659 Kbits/sec   0.795 ms 13/69 (19%)
[  1] 40.0000-41.0000 sec  80.4 KBytes   659 Kbits/sec   1.344 ms 5/61 (8.2%)
[  1] 41.0000-42.0000 sec  80.4 KBytes   659 Kbits/sec   0.981 ms 5/61 (8.2%)
[  1] 42.0000-43.0000 sec  87.6 KBytes   717 Kbits/sec   1.240 ms 0/61 (0%)
[  1] 43.0000-44.0000 sec  83.3 KBytes   682 Kbits/sec   1.136 ms 3/61 (4.9%)
[  1] 44.0000-45.0000 sec  83.3 KBytes   682 Kbits/sec   0.915 ms 3/61 (4.9%)
[  1] 45.0000-46.0000 sec  81.8 KBytes   670 Kbits/sec   1.069 ms 4/61 (6.6%)
[  1] 46.0000-47.0000 sec  84.7 KBytes   694 Kbits/sec   0.770 ms 2/61 (3.3%)
[  1] 47.0000-48.0000 sec  83.3 KBytes   682 Kbits/sec   0.647 ms 3/61 (4.9%)
[  1] 48.0000-49.0000 sec  87.6 KBytes   717 Kbits/sec   0.878 ms 0/61 (0%)
[  1] 49.0000-50.0000 sec  80.4 KBytes   659 Kbits/sec   1.089 ms 5/61 (8.2%)
[  1] 50.0000-51.0000 sec  83.3 KBytes   682 Kbits/sec   0.618 ms 3/61 (4.9%)
[  1] 51.0000-52.0000 sec  79.0 KBytes   647 Kbits/sec   1.312 ms 6/61 (9.8%)
[  1] 52.0000-53.0000 sec  86.1 KBytes   706 Kbits/sec   0.934 ms 1/61 (1.6%)
[  1] 53.0000-54.0000 sec  86.1 KBytes   706 Kbits/sec   0.732 ms 1/61 (1.6%)
[  1] 54.0000-55.0000 sec  84.7 KBytes   694 Kbits/sec   0.894 ms 2/61 (3.3%)
[  1] 55.0000-56.0000 sec  83.3 KBytes   682 Kbits/sec   0.989 ms 3/61 (4.9%)
[  1] 56.0000-57.0000 sec  83.3 KBytes   682 Kbits/sec   1.416 ms 3/61 (4.9%)
[  1] 57.0000-58.0000 sec  83.3 KBytes   682 Kbits/sec   0.437 ms 3/61 (4.9%)
[  1] 58.0000-59.0000 sec  84.7 KBytes   694 Kbits/sec   0.720 ms 2/61 (3.3%)
[  1] 59.0000-60.0000 sec  81.8 KBytes   670 Kbits/sec   1.271 ms 3/60 (5%)
[  1] 60.0000-61.0000 sec  77.5 KBytes   635 Kbits/sec   1.154 ms 7/61 (11%)
[  1] 61.0000-62.0000 sec  86.1 KBytes   706 Kbits/sec   1.034 ms 1/61 (1.6%)
[  1] 62.0000-63.0000 sec  81.8 KBytes   670 Kbits/sec   1.382 ms 4/61 (6.6%)
[  1] 63.0000-64.0000 sec  83.3 KBytes   682 Kbits/sec   0.854 ms 3/61 (4.9%)
[  1] 64.0000-65.0000 sec  80.4 KBytes   659 Kbits/sec   1.284 ms 5/61 (8.2%)
[  1] 65.0000-66.0000 sec  86.1 KBytes   706 Kbits/sec   0.627 ms 1/61 (1.6%)
[  1] 66.0000-67.0000 sec  81.8 KBytes   670 Kbits/sec   1.253 ms 4/61 (6.6%)
[  1] 67.0000-68.0000 sec  83.3 KBytes   682 Kbits/sec   0.824 ms 3/61 (4.9%)
[  1] 68.0000-69.0000 sec  84.7 KBytes   694 Kbits/sec   1.035 ms 2/61 (3.3%)
[  1] 69.0000-70.0000 sec  81.8 KBytes   670 Kbits/sec   0.754 ms 4/61 (6.6%)
[  1] 70.0000-71.0000 sec  81.8 KBytes   670 Kbits/sec   0.404 ms 4/61 (6.6%)
[  1] 71.0000-72.0000 sec  83.3 KBytes   682 Kbits/sec   1.217 ms 3/61 (4.9%)
[  1] 72.0000-73.0000 sec  84.7 KBytes   694 Kbits/sec   1.344 ms 2/61 (3.3%)
[  1] 73.0000-74.0000 sec  84.7 KBytes   694 Kbits/sec   0.708 ms 2/61 (3.3%)
[  1] 74.0000-75.0000 sec  77.5 KBytes   635 Kbits/sec   1.013 ms 7/61 (11%)
[  1] 75.0000-76.0000 sec  80.4 KBytes   659 Kbits/sec   0.817 ms 5/61 (8.2%)
[  1] 76.0000-77.0000 sec  83.3 KBytes   682 Kbits/sec   0.865 ms 3/61 (4.9%)
[  1] 77.0000-78.0000 sec  87.6 KBytes   717 Kbits/sec   1.018 ms 0/61 (0%)
[  1] 78.0000-79.0000 sec  86.1 KBytes   706 Kbits/sec   0.552 ms 1/61 (1.6%)
[  1] 79.0000-80.0000 sec  86.1 KBytes   706 Kbits/sec   0.861 ms 1/61 (1.6%)
[  1] 80.0000-81.0000 sec  83.3 KBytes   682 Kbits/sec   1.034 ms 2/60 (3.3%)
[  1] 81.0000-82.0000 sec  87.6 KBytes   717 Kbits/sec   0.720 ms 1/62 (1.6%)
[  1] 82.0000-83.0000 sec  83.3 KBytes   682 Kbits/sec   1.505 ms 3/61 (4.9%)
[  1] 83.0000-84.0000 sec  31.6 KBytes   259 Kbits/sec   0.603 ms 31/53 (58%)
[  1] 84.0000-85.0000 sec  83.3 KBytes   682 Kbits/sec   0.714 ms 10/68 (15%)
