------------------------------------------------------------
Server listening on TCP port 50793
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.8 port 50793 connected with 10.0.0.6 port 51694 (icwnd/mss/irtt=14/1448/41000)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-1.0000 sec   438 KBytes  3.59 Mbits/sec
[  1] 1.0000-2.0000 sec   417 KBytes  3.42 Mbits/sec
[  1] 2.0000-3.0000 sec  1.25 MBytes  10.5 Mbits/sec
[  1] 3.0000-4.0000 sec   310 KBytes  2.54 Mbits/sec
[  1] 4.0000-5.0000 sec   523 KBytes  4.29 Mbits/sec
[  1] 5.0000-6.0000 sec   638 KBytes  5.22 Mbits/sec
[  1] 6.0000-7.0000 sec   427 KBytes  3.50 Mbits/sec
[  1] 7.0000-8.0000 sec   407 KBytes  3.34 Mbits/sec
[  1] 8.0000-9.0000 sec   609 KBytes  4.99 Mbits/sec
[  1] 9.0000-10.0000 sec   421 KBytes  3.45 Mbits/sec
[  1] 10.0000-11.0000 sec   379 KBytes  3.10 Mbits/sec
[  1] 11.0000-12.0000 sec   301 KBytes  2.47 Mbits/sec
[  1] 12.0000-13.0000 sec   284 KBytes  2.33 Mbits/sec
[  1] 13.0000-14.0000 sec   452 KBytes  3.71 Mbits/sec
[  1] 14.0000-15.0000 sec   426 KBytes  3.49 Mbits/sec
[  1] 15.0000-16.0000 sec   431 KBytes  3.53 Mbits/sec
[  1] 16.0000-17.0000 sec   403 KBytes  3.30 Mbits/sec
[  1] 17.0000-18.0000 sec   230 KBytes  1.89 Mbits/sec
[  1] 18.0000-19.0000 sec   290 KBytes  2.37 Mbits/sec
[  1] 19.0000-20.0000 sec   499 KBytes  4.09 Mbits/sec
[  1] 20.0000-21.0000 sec   222 KBytes  1.82 Mbits/sec
[  1] 21.0000-22.0000 sec   311 KBytes  2.55 Mbits/sec
[  1] 22.0000-23.0000 sec   246 KBytes  2.02 Mbits/sec
[  1] 23.0000-24.0000 sec   291 KBytes  2.39 Mbits/sec
[  1] 24.0000-25.0000 sec   537 KBytes  4.40 Mbits/sec
[  1] 25.0000-26.0000 sec   365 KBytes  2.99 Mbits/sec
[  1] 26.0000-27.0000 sec   236 KBytes  1.93 Mbits/sec
[  1] 27.0000-28.0000 sec   245 KBytes  2.00 Mbits/sec
[  1] 28.0000-29.0000 sec   130 KBytes  1.07 Mbits/sec
[  1] 29.0000-30.0000 sec   482 KBytes  3.95 Mbits/sec
[  1] 30.0000-31.0000 sec   433 KBytes  3.54 Mbits/sec
[  1] 31.0000-32.0000 sec   270 KBytes  2.21 Mbits/sec
[  1] 32.0000-33.0000 sec   105 KBytes   857 Kbits/sec
[  1] 33.0000-34.0000 sec   434 KBytes  3.56 Mbits/sec
[  1] 34.0000-35.0000 sec   314 KBytes  2.57 Mbits/sec
[  1] 35.0000-36.0000 sec  87.7 KBytes   718 Kbits/sec
[  1] 36.0000-37.0000 sec   307 KBytes  2.51 Mbits/sec
[  1] 37.0000-38.0000 sec   414 KBytes  3.39 Mbits/sec
[  1] 38.0000-39.0000 sec   444 KBytes  3.64 Mbits/sec
[  1] 39.0000-40.0000 sec   348 KBytes  2.85 Mbits/sec
[  1] 40.0000-41.0000 sec   156 KBytes  1.27 Mbits/sec
[  1] 41.0000-42.0000 sec   310 KBytes  2.54 Mbits/sec
[  1] 42.0000-43.0000 sec   451 KBytes  3.70 Mbits/sec
[  1] 43.0000-44.0000 sec   752 KBytes  6.16 Mbits/sec
[  1] 44.0000-45.0000 sec   503 KBytes  4.12 Mbits/sec
